"ID","U_APPLICATION","EXTERNAL_ID","NAME","USED_FOR","HOST_NAME","MANUFACTURER","MODEL_ID","OS","OS_VERSION","SHORT_DESCRIPTION","SYS_CLASS_NAME","SYS_CREATED_ON","SYS_CREATED_BY","U_CMDB_CRITICALITY","STATUS"
"a9A290000008dv4EAA",""," HWF013"," HWF013","","","","Unknown","","","its a duplicate entry for HWF013","Windows Server","2016-03-22 16:12","worthl","(1) Non-Critical","Item Updated"
"a9A290000008dv5EAA","Keystone Capacity Manager","0102042SVR1  ","0102042SVR1  ","Production","0102042SVR1  ","Dell","Unknown","Windows 2008 R2 Standard ","6.1","Keystone Capacity Manager Application server

This is a server hosted by Longview Sysstems

201510 ZOI - Not husky asset. Serive from longview should be app CI not serverCI","Windows Server","2015-02-18 14:47","macneis","(1) Non-Critical","Item Updated"
"a9A290000008dv6EAA","Keystone Capacity Manager","0102042SVR2","0102042SVR2","Production","0102042SVR2   ","Dell","Unknown","Windows 2008 R2 Standard ","6.1","Keystone Capacity Manager Application server

This is a server hosted by Longview Systems

201510 ZOI - Not husky asset. Serive from longview should be app CI not serverCI



Dexter Yap� is the contact person for the two� long view servers(10.30.1.242�and�10.30.1.243).

This is his phone number 403.650.6774� and email��Dexter.Yap@lvs1.com. ","Windows Server","2015-02-18 14:48","macneis","(4) Business Critical","Item Updated"
"a9A290000008dv7EAA","","10.180.1.213","10.180.1.213","","","HP","HP ProLiant DL380 G5","ESX","VMware ESXi 5.5.0 build-2068190","","ESX Server","2016-09-22 6:02","mid_husky","(5) Mission Critical","Item Updated"
"a9A290000008dv8EAA","","10.180.1.91","10.180.1.91","Production","","HP","Hewlett-Packard Company ProLiant BL460c G7 Server Blade 603251-B21","ESX","VMware ESXi 5.5.0 build-2068190","","ESX Server","2016-05-12 6:09","mid_husky","(5) Mission Critical","Item Updated"
"a9A290000008dv9EAA","","10.180.1.94","10.180.1.94","Production","","HP","Hewlett-Packard Company ProLiant BL460c G7 Server Blade 603251-B21","ESX","VMware ESXi 5.5.0 build-2068190","","ESX Server","2016-05-12 6:09","mid_husky","(5) Mission Critical","Item Updated"
"a9A290000008dvAEAQ","","10.180.1.95","10.180.1.95","Production","","HP","Hewlett-Packard Company ProLiant BL460c G7 Server Blade 603251-B21","ESX","VMware ESXi 5.5.0 build-2068190","","ESX Server","2016-05-12 6:09","mid_husky","(5) Mission Critical","Item Updated"
"a9A290000008dvBEAQ","","10.180.1.96","10.180.1.96","Production","","HP","Hewlett-Packard Company ProLiant BL460c G7 Server Blade 603251-B21","ESX","VMware ESXi 5.5.0 build-2068190","","ESX Server","2016-05-12 6:09","mid_husky","(5) Mission Critical","Item Updated"
"a9A290000008dvCEAQ","","10.200.98.151","10.200.98.151","Development","","HP","Hewlett-Packard Company ProLiant DL385 G5p Server 470065-039","ESX","","5th Floor Lab as per Network Team Information","ESX Server","2014-08-11 14:32","mid_husky","(1) Non-Critical","Item Updated"
"a9A290000008dvDEAQ","","10.200.98.152","10.200.98.152","Development","","HP","Hewlett-Packard Company ProLiant DL385 G5p Server 470065-039","ESX","","5th Floor Lab as per Network Team Information","ESX Server","2014-08-11 14:32","mid_husky","(1) Non-Critical","Item Updated"
"a9A290000008dvEEAQ","","10.200.98.153","10.200.98.153","Development","","HP","Hewlett-Packard Company ProLiant DL385 G5p Server 470065-039","ESX","","5th Floor Lab as per Network Team Information

","ESX Server","2014-08-11 14:32","mid_husky","(1) Non-Critical","Item Updated"
"a9A290000008dvFEAQ","vCenter Server (Lima)","10.216.101.31","10.216.101.31","Production","","Cisco Systems Inc","Cisco Systems UCS B-Series B200 M2","ESX","VMware ESXi 5.5.0 build-2068190","Lima Cisco Voice Primary Blade Server","ESX Server","2014-06-05 9:30","mid_husky","(4) Business Critical","Item Updated"
"a9A290000008dvGEAQ","vCenter Server (Lima)","10.216.101.32","10.216.101.32","Production","","Cisco Systems Inc","Cisco Systems UCS B-Series B200 M2","ESX","VMware ESXi 5.5.0 build-2068190","Lima Cisco Voice Secondary Blade Server","ESX Server","2014-06-05 9:30","mid_husky","(4) Business Critical","Item Updated"
"a9A290000008dvHEAQ","vCenter Server (Lima)","10.216.101.33","10.216.101.33","Production","","Cisco Systems Inc","Cisco Systems UCS B-Series B230 M2","ESX","VMware ESXi 5.5.0 build-2068190","Lima Cisco Blade Server","ESX Server","2014-06-05 9:30","mid_husky","(4) Business Critical","Item Updated"
